Datetime,Sea pressure - decibar,Practical salinity adjusted,QC
2023-10-19 19:27:55,0.4,36.416,1
2023-10-19 19:27:55,1.9,36.395,1
2023-10-19 19:27:55,3.7,36.521,1
2023-10-19 19:27:55,5.6,36.553,1
2023-10-19 19:27:55,6.9,36.581,1
2023-10-19 19:27:55,10.3,36.617,1
2023-10-19 19:27:55,25.4,36.623,1
2023-10-19 19:27:55,45.3,36.592,1
2023-10-19 19:27:55,66.2,36.447,1
2023-10-19 19:27:55,75.3,36.138,1
2023-10-19 19:27:55,95.2,36.036,1
2023-10-19 19:27:55,115,35.984,1
2023-10-19 19:27:55,145.2,35.711,1
2023-10-19 19:27:55,175.6,35.77,1
2023-10-19 19:27:55,195.5,35.724,1
2023-10-19 19:27:55,237.5,35.806,1
2023-10-19 19:27:55,288,35.7,1
2023-10-19 19:27:55,313.3,35.69,1
2023-10-19 19:27:55,387.9,35.626,1
2023-10-19 19:27:55,437.6,35.666,1
2023-10-19 19:27:55,462.8,35.654,1
2023-10-19 19:27:55,512.8,35.653,1
2023-10-19 19:27:55,563,35.614,1
2023-10-19 19:27:55,638.1,35.569,1
2023-10-19 19:27:55,688,35.559,1
2023-10-19 19:27:55,737.6,35.535,1
2023-10-19 19:27:55,812.9,35.486,1
2023-10-19 19:27:55,838.1,35.471,1
2023-10-19 19:27:55,912.8,35.388,1
2023-10-19 19:27:55,962.9,35.355,1
2023-10-19 19:27:55,1012.7,35.286,1
2023-10-19 19:27:55,1063.4,35.249,1
2023-10-19 19:27:55,1112.5,35.257,1
2023-10-19 19:27:55,1162.6,35.199,1
2023-10-19 19:27:55,1187.5,35.203,1
2023-10-19 19:27:55,1263.3,35.157,1
2023-10-19 19:27:55,1288,35.126,1
2023-10-19 19:27:55,1362.9,35.103,1
2023-10-19 19:27:55,1412.6,35.069,1
2023-10-19 19:27:55,1488.5,35.05,1
2023-10-19 19:27:55,1537.6,35.019,1
2023-10-19 19:27:55,1587.6,34.992,1
2023-10-19 19:27:55,1638.1,34.964,1
2023-10-19 19:27:55,1663.2,34.95,1
2023-10-19 19:27:55,1737.9,34.923,1
2023-10-19 19:27:55,1763.1,34.913,1
2023-10-19 19:27:55,1813.6,34.886,1
2023-10-19 19:27:55,1862.9,34.868,1
2023-10-19 19:27:55,1912.9,34.859,1
2023-10-19 19:27:55,1983.6,34.843,1
2023-10-29 19:35:35,0.1,35.392,1
2023-10-29 19:35:35,1.8,35.388,1
2023-10-29 19:35:35,4.2,35.389,1
2023-10-29 19:35:35,5.1,35.389,1
2023-10-29 19:35:35,6.9,35.389,1
2023-10-29 19:35:35,9.9,35.389,1
2023-10-29 19:35:35,15.9,35.417,1
2023-10-29 19:35:35,34.9,36.3,1
2023-10-29 19:35:35,65.4,36.056,1
2023-10-29 19:35:35,85,35.972,1
2023-10-29 19:35:35,105.8,35.926,1
2023-10-29 19:35:35,125.5,35.807,1
2023-10-29 19:35:35,145.7,35.719,1
2023-10-29 19:35:35,175.2,35.937,1
2023-10-29 19:35:35,185,35.916,1
2023-10-29 19:35:35,237.8,36.016,1
2023-10-29 19:35:35,288.2,35.958,1
2023-10-29 19:35:35,337.8,35.816,1
2023-10-29 19:35:35,387.9,35.745,1
2023-10-29 19:35:35,412.8,35.727,1
2023-10-29 19:35:35,487.7,35.712,1
2023-10-29 19:35:35,512.8,35.688,1
2023-10-29 19:35:35,587.8,35.651,1
2023-10-29 19:35:35,637.7,35.611,1
2023-10-29 19:35:35,688.2,35.511,1
2023-10-29 19:35:35,738,35.477,1
2023-10-29 19:35:35,787.8,35.456,1
2023-10-29 19:35:35,862.6,35.397,1
2023-10-29 19:35:35,887.8,35.373,1
2023-10-29 19:35:35,937.9,35.337,1
2023-10-29 19:35:35,987.7,35.309,1
2023-10-29 19:35:35,1037.5,35.26,1
2023-10-29 19:35:35,1088.6,35.266,1
2023-10-29 19:35:35,1137.4,35.236,1
2023-10-29 19:35:35,1187.8,35.2,1
2023-10-29 19:35:35,1263.1,35.151,1
2023-10-29 19:35:35,1313,35.106,1
2023-10-29 19:35:35,1387.4,35.099,1
2023-10-29 19:35:35,1413.3,35.09,1
2023-10-29 19:35:35,1462.9,35.062,1
2023-10-29 19:35:35,1537.6,35.028,1
2023-10-29 19:35:35,1588.1,35.002,1
2023-10-29 19:35:35,1612.8,34.983,1
2023-10-29 19:35:35,1687.6,34.947,1
2023-10-29 19:35:35,1737.8,34.922,1
2023-10-29 19:35:35,1787.8,34.904,1
2023-10-29 19:35:35,1812.7,34.9,1
2023-10-29 19:35:35,1862.9,34.883,1
2023-10-29 19:35:35,1937.9,34.859,1
2023-10-29 19:35:35,1977.6,34.851,1
2023-11-08 19:31:56,0.3,35.431,1
2023-11-08 19:31:56,1,35.426,1
2023-11-08 19:31:56,3,35.426,1
2023-11-08 19:31:56,4.9,35.431,1
2023-11-08 19:31:56,8,35.434,1
2023-11-08 19:31:56,9.9,35.444,1
2023-11-08 19:31:56,25.7,36.694,1
2023-11-08 19:31:56,45.4,36.63,1
2023-11-08 19:31:56,55.2,36.467,1
2023-11-08 19:31:56,75.6,36.248,1
2023-11-08 19:31:56,105.3,36.147,1
2023-11-08 19:31:56,125.1,35.941,1
2023-11-08 19:31:56,145.4,35.931,1
2023-11-08 19:31:56,165.8,35.836,1
2023-11-08 19:31:56,185.8,35.961,1
2023-11-08 19:31:56,212.6,35.91,1
2023-11-08 19:31:56,262.4,35.937,1
2023-11-08 19:31:56,313.2,35.907,1
2023-11-08 19:31:56,362.7,35.778,1
2023-11-08 19:31:56,413,35.693,1
2023-11-08 19:31:56,462.6,35.711,1
2023-11-08 19:31:56,537.9,35.682,1
2023-11-08 19:31:56,587.9,35.648,1
2023-11-08 19:31:56,613,35.627,1
2023-11-08 19:31:56,713.3,35.575,1
2023-11-08 19:31:56,738.3,35.559,1
2023-11-08 19:31:56,812.3,35.489,1
2023-11-08 19:31:56,862.8,35.388,1
2023-11-08 19:31:56,912.5,35.364,1
2023-11-08 19:31:56,963.3,35.319,1
2023-11-08 19:31:56,1013.1,35.294,1
2023-11-08 19:31:56,1062.7,35.294,1
2023-11-08 19:31:56,1087.7,35.288,1
2023-11-08 19:31:56,1162.9,35.231,1
2023-11-08 19:31:56,1212.6,35.194,1
2023-11-08 19:31:56,1237.4,35.179,1
2023-11-08 19:31:56,1338,35.135,1
2023-11-08 19:31:56,1363.2,35.1,1
2023-11-08 19:31:56,1438,35.083,1
2023-11-08 19:31:56,1463.1,35.069,1
2023-11-08 19:31:56,1512.8,35.033,1
2023-11-08 19:31:56,1588.1,34.987,1
2023-11-08 19:31:56,1613.1,34.974,1
2023-11-08 19:31:56,1662.6,34.952,1
2023-11-08 19:31:56,1737.7,34.919,1
2023-11-08 19:31:56,1762.5,34.911,1
2023-11-08 19:31:56,1812.6,34.894,1
2023-11-08 19:31:56,1887.8,34.871,1
2023-11-08 19:31:56,1963.2,34.855,1
2023-11-08 19:31:56,1977.3,34.85,1
2023-11-18 19:31:53,0.4,35.475,1
2023-11-18 19:31:53,1.2,35.472,1
2023-11-18 19:31:53,2.8,35.478,1
2023-11-18 19:31:53,4.9,35.48,1
2023-11-18 19:31:53,6.9,35.477,1
2023-11-18 19:31:53,10.2,35.48,1
2023-11-18 19:31:53,15.4,35.471,1
2023-11-18 19:31:53,35.1,35.907,1
2023-11-18 19:31:53,55.1,36.011,1
2023-11-18 19:31:53,75.2,35.639,1
2023-11-18 19:31:53,95.5,35.519,1
2023-11-18 19:31:53,125,35.516,1
2023-11-18 19:31:53,145.5,35.447,1
2023-11-18 19:31:53,165.5,35.706,1
2023-11-18 19:31:53,185.5,35.761,1
2023-11-18 19:31:53,237.3,36.031,1
2023-11-18 19:31:53,263.1,36.023,1
2023-11-18 19:31:53,312.6,35.794,1
2023-11-18 19:31:53,362.8,35.721,1
2023-11-18 19:31:53,413.2,35.703,1
2023-11-18 19:31:53,462.8,35.702,1
2023-11-18 19:31:53,512.6,35.693,1
2023-11-18 19:31:53,563,35.653,1
2023-11-18 19:31:53,638,35.605,1
