Datetime,Sea pressure - decibar,Sea temperature adjusted,QC
2023-10-19 19:27:55,0.4,29.571,1
2023-10-19 19:27:55,1.9,29.581,1
2023-10-19 19:27:55,3.7,29.42,1
2023-10-19 19:27:55,5.6,29.398,1
2023-10-19 19:27:55,8.4,29.412,1
2023-10-19 19:27:55,10.3,29.416,1
2023-10-19 19:27:55,25.4,29.372,1
2023-10-19 19:27:55,45.3,29.074,1
2023-10-19 19:27:55,66.2,26.819,1
2023-10-19 19:27:55,75.3,23.987,1
2023-10-19 19:27:55,95.2,22.279,1
2023-10-19 19:27:55,115,21.239,1
2023-10-19 19:27:55,145.2,18.569,1
2023-10-19 19:27:55,175.6,17.236,1
2023-10-19 19:27:55,195.5,16.197,1
2023-10-19 19:27:55,237.5,15.212,1
2023-10-19 19:27:55,288,13.878,1
2023-10-19 19:27:55,339,13.258,1
2023-10-19 19:27:55,387.9,12.804,1
2023-10-19 19:27:55,437.6,12.622,1
2023-10-19 19:27:55,462.8,12.434,1
2023-10-19 19:27:55,512.8,12.179,1
2023-10-19 19:27:55,563,11.769,1
2023-10-19 19:27:55,638.1,11.27,1
2023-10-19 19:27:55,688,11.019,1
2023-10-19 19:27:55,737.6,10.699,1
2023-10-19 19:27:55,787.9,10.253,1
2023-10-19 19:27:55,838.1,9.905,1
2023-10-19 19:27:55,912.8,9.233,1
2023-10-19 19:27:55,962.9,8.889,1
2023-10-19 19:27:55,987.8,8.597,1
2023-10-19 19:27:55,1063.4,7.972,1
2023-10-19 19:27:55,1112.5,7.813,1
2023-10-19 19:27:55,1162.6,7.357,1
2023-10-19 19:27:55,1212.6,7.133,1
2023-10-19 19:27:55,1237.9,6.952,1
2023-10-19 19:27:55,1288,6.568,1
2023-10-19 19:27:55,1362.9,6.233,1
2023-10-19 19:27:55,1412.6,5.914,1
2023-10-19 19:27:55,1488.5,5.522,1
2023-10-19 19:27:55,1537.6,5.163,1
2023-10-19 19:27:55,1587.6,4.867,1
2023-10-19 19:27:55,1638.1,4.553,1
2023-10-19 19:27:55,1663.2,4.417,1
2023-10-19 19:27:55,1737.9,4.106,1
2023-10-19 19:27:55,1763.1,3.988,1
2023-10-19 19:27:55,1813.6,3.677,1
2023-10-19 19:27:55,1862.9,3.479,1
2023-10-19 19:27:55,1912.9,3.358,1
2023-10-19 19:27:55,1983.6,3.155,1
2023-10-29 19:35:35,0.1,29.667,1
2023-10-29 19:35:35,1.8,29.677,1
2023-10-29 19:35:35,3,29.676,1
2023-10-29 19:35:35,5.1,29.68,1
2023-10-29 19:35:35,7.7,29.673,1
2023-10-29 19:35:35,9.9,29.674,1
2023-10-29 19:35:35,24.7,29.719,1
2023-10-29 19:35:35,45.1,28.326,1
2023-10-29 19:35:35,65.4,24.642,1
2023-10-29 19:35:35,85,22.627,1
2023-10-29 19:35:35,105.8,21.54,1
2023-10-29 19:35:35,125.5,20.19,1
2023-10-29 19:35:35,145.7,18.616,1
2023-10-29 19:35:35,175.2,17.803,1
2023-10-29 19:35:35,185,17.357,1
2023-10-29 19:35:35,237.8,16.182,1
2023-10-29 19:35:35,262.9,15.551,1
2023-10-29 19:35:35,337.8,13.916,1
2023-10-29 19:35:35,363.9,13.525,1
2023-10-29 19:35:35,412.8,13.053,1
2023-10-29 19:35:35,487.7,12.553,1
2023-10-29 19:35:35,512.8,12.333,1
2023-10-29 19:35:35,587.8,11.848,1
2023-10-29 19:35:35,637.7,11.405,1
2023-10-29 19:35:35,688.2,10.734,1
2023-10-29 19:35:35,738,10.386,1
2023-10-29 19:35:35,787.8,10.045,1
2023-10-29 19:35:35,837.7,9.614,1
2023-10-29 19:35:35,887.8,9.186,1
2023-10-29 19:35:35,962.9,8.657,1
2023-10-29 19:35:35,1012.7,8.307,1
2023-10-29 19:35:35,1037.5,8.056,1
2023-10-29 19:35:35,1088.6,7.875,1
2023-10-29 19:35:35,1162.8,7.343,1
2023-10-29 19:35:35,1187.8,7.188,1
2023-10-29 19:35:35,1263.1,6.709,1
2023-10-29 19:35:35,1313,6.341,1
2023-10-29 19:35:35,1387.4,6.058,1
2023-10-29 19:35:35,1413.3,5.938,1
2023-10-29 19:35:35,1462.9,5.632,1
2023-10-29 19:35:35,1537.6,5.259,1
2023-10-29 19:35:35,1588.1,4.97,1
2023-10-29 19:35:35,1612.8,4.79,1
2023-10-29 19:35:35,1687.6,4.382,1
2023-10-29 19:35:35,1737.8,4.101,1
2023-10-29 19:35:35,1787.8,3.896,1
2023-10-29 19:35:35,1812.7,3.821,1
2023-10-29 19:35:35,1862.9,3.637,1
2023-10-29 19:35:35,1937.9,3.375,1
2023-10-29 19:35:35,1977.6,3.286,1
2023-11-08 19:31:56,0.3,29.75,1
2023-11-08 19:31:56,1,29.755,1
2023-11-08 19:31:56,3,29.752,1
2023-11-08 19:31:56,5.8,29.75,1
2023-11-08 19:31:56,8,29.729,1
2023-11-08 19:31:56,9.9,29.683,1
2023-11-08 19:31:56,25.7,29.534,1
2023-11-08 19:31:56,45.4,28.929,1
2023-11-08 19:31:56,55.2,27.314,1
2023-11-08 19:31:56,75.6,24.501,1
2023-11-08 19:31:56,105.3,22.435,1
2023-11-08 19:31:56,125.1,20.891,1
2023-11-08 19:31:56,145.4,19.972,1
2023-11-08 19:31:56,165.8,18.635,1
2023-11-08 19:31:56,195.3,17.322,1
2023-11-08 19:31:56,237.9,16.187,1
2023-11-08 19:31:56,262.4,15.53,1
2023-11-08 19:31:56,313.2,14.762,1
2023-11-08 19:31:56,362.7,13.703,1
2023-11-08 19:31:56,413,13.024,1
2023-11-08 19:31:56,462.6,12.787,1
2023-11-08 19:31:56,513.2,12.428,1
2023-11-08 19:31:56,562.8,12.012,1
2023-11-08 19:31:56,638.1,11.507,1
2023-11-08 19:31:56,713.3,10.964,1
2023-11-08 19:31:56,763,10.419,1
2023-11-08 19:31:56,812.3,9.984,1
2023-11-08 19:31:56,862.8,9.313,1
2023-11-08 19:31:56,887.8,9.113,1
2023-11-08 19:31:56,938,8.825,1
2023-11-08 19:31:56,1013.1,8.322,1
2023-11-08 19:31:56,1062.7,8.115,1
2023-11-08 19:31:56,1087.7,8.007,1
2023-11-08 19:31:56,1162.9,7.486,1
2023-11-08 19:31:56,1212.6,7.111,1
